Exit_Time,Cumulative,Daily_Return,Cumulative_Max,Drawdown
2023-05-30,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-05-31,122074.91576999999,0.0,137555.00393500002,-0.11253744118472753
2023-06-01,122490.14056999999,0.0034013932951002523,137555.00393500002,-0.10951883198752077
2023-06-02,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-03,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-04,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-05,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-06,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-07,122490.14056999999,0.0,137555.00393500002,-0.10951883198752077
2023-06-08,121466.21732,-0.008359229936672707,137555.00393500002,-0.11696256882521394
2023-06-09,121466.21732,0.0,137555.00393500002,-0.11696256882521394
2023-06-10,121433.66102,-0.0002680276106254986,137555.00393500002,-0.11719924723798458
2023-06-11,121433.66102,0.0,137555.00393500002,-0.11719924723798458
2023-06-12,121309.60607,-0.0010215861809483862,137555.00393500002,-0.11810110428753717
2023-06-13,121130.30142,-0.0014780746208715723,137555.00393500002,-0.11940461666346436
2023-06-14,121130.30142,0.0,137555.00393500002,-0.11940461666346436
2023-06-15,120416.84346999999,-0.0058900039183936714,137555.00393500002,-0.12459132692183594
2023-06-16,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-17,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-18,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-19,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-20,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-21,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-22,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-23,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-24,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-25,120416.84346999999,0.0,137555.00393500002,-0.12459132692183594
2023-06-26,125283.08647,0.040411647239469106,137555.00393500002,-0.08921462043502959
2023-06-27,125283.08647,0.0,137555.00393500002,-0.08921462043502959
2023-06-28,125035.14277,-0.0019790676218641723,137555.00393500002,-0.09101712629019387
2023-06-29,124700.70257000001,-0.0026747696094944207,137555.00393500002,-0.09344844605634384
2023-06-30,124700.70257000001,0.0,137555.00393500002,-0.09344844605634384
2023-07-01,124403.77657,-0.002381109279102289,137555.00393500002,-0.09560704437342371
2023-07-02,124403.77657,0.0,137555.00393500002,-0.09560704437342371
2023-07-03,124519.63087000001,0.0009312763904303356,137555.00393500002,-0.0947648045661772
2023-07-04,124519.63087000001,0.0,137555.00393500002,-0.0947648045661772
2023-07-05,124519.63087000001,0.0,137555.00393500002,-0.0947648045661772
2023-07-06,124346.63337000001,-0.0013893190880127637,137555.00393500002,-0.09602246510233436
2023-07-07,123888.73822,-0.0036824089047712283,137555.00393500002,-0.09935128002655469
2023-07-08,123888.73822,0.0,137555.00393500002,-0.09935128002655469
2023-07-09,123888.73822,0.0,137555.00393500002,-0.09935128002655469
2023-07-10,123740.96577000001,-0.0011927835582405955,137555.00393500002,-0.10042555901148942
2023-07-11,123825.06732000002,0.0006796581025263482,137555.00393500002,-0.09981415595384602
2023-07-12,123825.06732000002,0.0,137555.00393500002,-0.09981415595384602
2023-07-13,123859.01222000002,0.0002741359301043911,137555.00393500002,-0.0995673826702217
2023-07-14,123859.01222000002,0.0,137555.00393500002,-0.0995673826702217
2023-07-15,123859.01222000002,0.0,137555.00393500002,-0.0995673826702217
2023-07-16,123102.62517000001,-0.00610683902965814,137555.00393500002,-0.1050661797213085
2023-07-17,123051.31677,-0.0004167937111752007,137555.00393500002,-0.10543918250951856
2023-07-18,123051.31677,0.0,137555.00393500002,-0.10543918250951856
2023-07-19,123051.31677,0.0,137555.00393500002,-0.10543918250951856
2023-07-20,123051.31677,0.0,137555.00393500002,-0.10543918250951856
2023-07-21,122555.22037000001,-0.004031622033978444,137555.00393500002,-0.10904571361204696
2023-07-22,122555.22037000001,0.0,137555.00393500002,-0.10904571361204696
2023-07-23,122555.22037000001,0.0,137555.00393500002,-0.10904571361204696
2023-07-24,122555.22037000001,0.0,137555.00393500002,-0.10904571361204696
2023-07-25,121948.19057,-0.004953112549325511,137555.00393500002,-0.11345871046883049
2023-07-26,121948.19057,0.0,137555.00393500002,-0.11345871046883049
